GM,Year,Team,Team_ID,W,L,WPct,Finish
Joe Peters,2000,Pittsburgh,52,57,99,0.365,8th
Joe Peters,2001,Pittsburgh,52,74,82,0.474,5th
Joe Peters,2002,Pittsburgh,52,91,65,0.583,1st
Joe Peters,2003,Pittsburgh,52,105,51,0.673,1st
Joe Peters,2004,Pittsburgh,52,94,62,0.603,1st
Joe Peters,2005,Pittsburgh,52,103,53,0.66,1st
Joseph Hoffman,2000,Texas,58,78,78,0.5,5th
Joseph Hoffman,2001,Texas,58,71,85,0.455,7th
Joseph Hoffman,2002,Texas,58,26,35,0.426,6th
Joseph Hoffman,2003,San Diego,53,60,59,0.504,6th
Joseph Hoffman,2004,San Diego,53,62,94,0.397,7th
Joseph Hoffman,2005,San Diego,53,67,89,0.429,7th
Joseph Hoffman,2006,San Diego,53,51,105,0.327,8th
Joseph Hoffman,2007,San Diego,53,48,108,0.308,8th
Joseph Hoffman,2008,San Diego,53,58,98,0.372,7th
Joseph Hoffman,2009,San Diego,53,71,85,0.455,7th
Joseph Hoffman,2010,San Diego,53,60,96,0.385,8th
Joseph Hoffman,2011,San Diego,53,45,111,0.288,8th
Erick Kaiser,2000,Arizona,31,84,72,0.538,2nd
Erick Kaiser,2001,Arizona,31,71,85,0.455,7th
Erick Kaiser,2002,Arizona,31,68,88,0.436,7th
Erick Kaiser,2003,Arizona,31,76,80,0.487,4th
Erick Kaiser,2004,Arizona,31,85,71,0.545,5th
Erick Kaiser,2005,Arizona,31,87,69,0.558,2nd
Erick Kaiser,2006,Arizona,31,88,68,0.564,4th
Erick Kaiser,2007,Arizona,31,98,58,0.628,1st
Erick Kaiser,2008,Arizona,31,86,70,0.551,3rd
Erick Kaiser,2009,Detroit,40,62,94,0.397,8th
Erick Kaiser,2010,Detroit,40,60,96,0.385,7th
Erick Kaiser,2011,Detroit,40,69,87,0.442,5th
Erick Kaiser,2012,Detroit,40,49,107,0.314,8th
Erick Kaiser,2013,Detroit,40,84,72,0.538,4th
Erick Kaiser,2014,Detroit,40,83,73,0.532,4th
Erick Kaiser,2015,Detroit,40,77,79,0.494,5th
Erick Kaiser,2016,Detroit,40,60,96,0.385,7th
Erick Kaiser,2017,Detroit,40,76,80,0.487,5th
Erick Kaiser,2018,Detroit,40,73,83,0.468,5th
Mike Wojcik,2000,Detroit,40,86,70,0.551,2nd
Mike Wojcik,2001,Detroit,40,2,5,0.286,8th
Mike Wojcik,2005,Detroit,40,19,17,0.528,4th
Andy Cross,2000,Chicago,35,8,16,0.333,7th
Andy Cross,2001,Chicago,35,54,102,0.346,8th
Andy Cross,2002,Chicago,35,0,0,0,2nd
Andy Cross,2002,Oakland,50,69,87,0.442,6th
Andy Cross,2003,Oakland,50,57,99,0.365,8th
Andy Cross,2004,Oakland,50,57,99,0.365,8th
Andy Cross,2005,Oakland,50,62,94,0.397,8th
